"uni","bi"
48,47
48,48
48,48
47,48
47,48
47,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
47,48
48,48
48,48
48,47
48,48
48,52
48,48
48,47
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,47
48,48
47,47
48,48
48,48
48,48
48,48
48,48
47,47
48,48
48,47
47,48
48,47
47,48
47,48
48,48
48,48
48,48
47,47
48,48
48,48
48,48
48,48
48,48
47,47
47,48
48,48
48,48
48,47
48,48
48,48
47,48
47,48
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
47,57
47,47
48,48
48,48
48,48
48,49
47,48
47,48
48,48
48,47
48,48
47,48
48,48
48,47
48,48
48,47
48,48
48,48
48,47
48,48
48,47
48,47
47,47
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,49
48,47
48,47
48,48
48,48
47,56
48,48
48,48
48,48
47,47
48,48
48,48
48,47
48,47
48,48
48,48
48,48
48,48
48,53
48,47
48,49
48,48
48,47
48,48
48,48
48,47
48,48
48,48
47,48
47,47
48,48
47,47
48,48
48,48
47,48
48,47
48,49
47,48
48,48
48,48
48,58
48,48
48,48
48,48
48,48
48,48
48,48
48,48
47,48
47,48
47,48
48,48
48,48
48,48
48,49
47,48
48,48
48,48
48,48
47,48
47,48
47,47
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
47,48
48,48
48,48
48,48
48,48
48,48
48,47
48,47
48,48
48,48
48,48
47,48
48,48
48,59
48,48
48,48
48,48
47,48
